STIMULUS	p	t	k	f	T	s	S	C	h	b	d	g	v	D	z	J	y	m	n	l	r	w
p	30.8	3.3	9.2	9.6	2.9	0	0	0.4	19.2	11.7	1.3	1.3	2.9	1.7	0.4	0	0.8	0.8	1.3	1.3	0	1.3
t	24.6	14.2	12.5	7.5	7.9	0.8	0	2.9	11.3	7.1	0.4	2.1	1.3	1.7	0	0	0	2.1	3.3	0.4	0	0
k	25	7.9	25.8	3.8	4.2	0.4	0.8	0.4	13.8	4.2	1.3	3.8	1.3	0.8	0.4	0.4	1.3	0.4	1.7	1.3	0.4	0.8
f	24.6	2.1	9.2	15	7.1	0	0.4	0.4	9.2	15	1.7	2.9	5.4	4.2	0	0.4	0.4	0.4	0.4	0	0.4	0.8
T	18.8	6.3	3.8	13.3	12.1	0.4	0.4	0.4	7.1	14.2	2.5	1.7	2.9	7.5	0	0	0.4	1.3	2.9	2.9	0	0.8
s	0.4	2.5	0.4	12.5	24.6	30.4	0.8	0.4	0	0.8	1.3	0	3.3	7.9	14.6	0	0	0	0	0	0	0
S	0	0.4	0	0	1.3	6.7	72.5	18.3	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0
C	3.3	4.2	1.3	2.1	2.5	1.3	4.6	70.8	1.3	1.3	0.4	0	0.4	0.8	0	5.4	0.4	0	0	0	0	0
h	26.3	4.6	12.1	11.3	5	0.4	0.4	0.8	17.9	8.3	1.3	0.4	4.6	1.7	0.4	0	0.8	0	0.8	1.7	0.8	0.4
b	7.5	0.4	5.8	9.2	1.7	0.4	0	0.4	12.5	28.3	2.5	0.4	4.6	2.1	0	0	2.9	7.1	2.9	5	1.3	5
d	2.5	2.1	1.3	1.3	5.4	0	0	0	8.8	12.1	10.8	2.5	2.1	12.9	0.4	0.4	6.3	4.2	12.5	12.5	0	1.7
g	3.3	1.3	9.2	2.9	2.5	0	0.4	1.3	9.2	10	5	17.1	1.7	3.3	0	0.8	24.2	0.8	2.5	2.5	0.4	1.7
v	7.5	2.9	2.5	8.8	5	0.4	0	0	6.7	30	1.3	1.7	9.6	7.9	0	0	2.1	3.8	1.7	0.4	2.5	5.4
D	2.5	1.3	2.5	1.7	14.6	2.1	0.4	0.8	2.1	17.1	10	0	1.3	18.8	1.3	1.7	1.3	1.3	3.3	12.1	0.8	2.9
z	0	0.8	1.3	1.3	9.6	3.3	0.4	1.3	0	7.9	5	0	2.5	23.8	27.1	1.3	2.5	2.1	5	0.4	0.8	3.8
J	3.2	0.4	2.5	0.4	2.1	0	0.8	18.3	2.1	2.1	6.7	2.1	0	7.5	0	40.4	5.8	0.4	1.3	2.9	0	0
y	1.3	0	0.8	0.8	0.8	0	0.8	0.4	2.1	4.2	2.5	1.3	0.4	1.3	0.4	4.6	69.6	2.5	4.2	1.3	0	0.8
m	3.8	0.8	2.5	2.9	0.4	0	0	0	2.1	9.6	0.8	0	2.5	0	0	0	0	50	10	5	5.4	4.2
n	0	0	0	0	0.4	0	0	0	2.1	1.7	1.3	0	0	0	0	0.8	0.4	12.9	73.8	4.6	0.4	1.7
l	5.8	1.3	0.17	1.3	1.3	0	0	0.4	2.1	8.3	1.7	0.8	2.5	3.3	0	0	1.3	10	4.2	46.7	2.1	5.4
r	2.5	1.3	1.7	2.1	0	0	0	0.4	5.8	14.6	0.8	2.1	1.3	0.8	0	0	0	0.8	0.4	0.4	58.3	6.7
w	1.7	0	0.4	0.4	0.4	0.4	0	0	17	5.8	0.8	0	2.1	0.4	0	0	0	5.8	0.8	2.5	1.7	75
